,id,article,sku,name,barcode,barcodes,category_id,description_category_id,type_id,primary_image,images,created_at,visible,is_kgt,has_discounted_item,has_price,has_stock,state,moderate_status,state_name,state_description,is_failed_validate,errors,state_updated_at,link
32,33,article33,150200105,name 33,4670000000000,['4665300310547'],27332,17028759,95885,https://oz.ru/s3/mtl-0/6370532700.jpg,"['https://oz.ru/s3/mtl-q/6357358778.jpg', 'https://oz.ru/s3/mtl-j/6357358771.jpg', 'https://oz.ru/s3/mtl-i/6357358770.jpg', 'https://oz.ru/s3/mtl-n/6357358775.jpg', 'https://oz.ru/s3/mtl-x/6357286677.jpg', 'https://oz.ru/s3/mtl-2/6357286682.jpg', 'https://oz.ru/s3/mtl-b/6273751499.jpg', 'https://oz.ru/s3/mtl-t/6359020721.jpg', 'https://oz.ru/s3/mtl-g/6273751504.jpg', 'https://oz.ru/s3/mtl-f/6273751503.jpg', 'https://oz.ru/s3/mtl-i/6273751506.jpg', 'https://oz.ru/s3/mtl-a/6273751498.jpg', 'https://oz.ru/s3/mtl-h/6273751505.jpg']",2019-03-27 17:55:00,True,False,False,False,True,price_sent,approved,on sale,,False,[],2023-12-07 09:51:00,https://www.oz.ru/product/150200105
33,34,article34,150200066,name 34,14700000000000,"['14665300311084', '4665300311087']",86473,83250454,97240,https://oz.ru/s3/mtl-5/6388097753.jpg,"['https://oz.ru/s3/mtl-3/6388097751.jpg', 'https://oz.ru/s3/mtl-x/6388097745.jpg', 'https://oz.ru/s3/mtl-1/6388097749.jpg', 'https://oz.ru/s3/mtl-y/6388097746.jpg', 'https://oz.ru/s3/mtl-z/6388097747.jpg', 'https://oz.ru/s3/mtl-a/6388097758.jpg', 'https://oz.ru/s3/mtl-0/6388097748.jpg', 'https://oz.ru/s3/mtl-l/6388097733.jpg', 'https://oz.ru/s3/mtl-7/6388096747.jpg', 'https://oz.ru/s3/mtl-4/6388097752.jpg', 'https://oz.ru/s3/mtl-s/6388097740.jpg', 'https://oz.ru/s3/mtl-2/6388097750.jpg', 'https://oz.ru/s3/mtl-q/6388097738.jpg', 'https://oz.ru/s3/mtl-k/6373840940.jpg']",2019-03-27 17:55:00,True,False,False,False,True,price_sent,approved,on sale,,False,[],2023-08-29 10:45:00,https://www.oz.ru/product/150200066
34,35,article35,150200104,name 35,4670000000000,['4665300310530'],27332,17028759,95885,https://oz.ru/s3/mtl-0/6370532448.jpg,"['https://oz.ru/s3/mtl-v/6357356443.jpg', 'https://oz.ru/s3/mtl-z/6357356447.jpg', 'https://oz.ru/s3/mtl-x/6357356445.jpg', 'https://oz.ru/s3/mtl-0/6357356448.jpg', 'https://oz.ru/s3/mtl-x/6357286677.jpg', 'https://oz.ru/s3/mtl-2/6357286682.jpg', 'https://oz.ru/s3/mtl-j/6273753595.jpg', 'https://oz.ru/s3/mtl-6/6359020302.jpg', 'https://oz.ru/s3/mtl-w/6273753572.jpg', 'https://oz.ru/s3/mtl-1/6273753577.jpg', 'https://oz.ru/s3/mtl-v/6273753607.jpg', 'https://oz.ru/s3/mtl-7/6359020303.jpg', 'https://oz.ru/s3/mtl-8/6359020304.jpg']",2019-03-27 17:55:00,True,False,False,False,True,price_sent,approved,on sale,,False,[],2023-12-07 09:51:00,https://www.oz.ru/product/150200104
35,36,article36,150200071,name 36,14700000000000,"['14665300311046', '4665300311049', '4665300314651']",86473,83250454,97240,https://oz.ru/s3/mtl-i/6381007062.jpg,"['https://oz.ru/s3/mtl-e/6381007058.jpg', 'https://oz.ru/s3/mtl-l/6381007065.jpg', 'https://oz.ru/s3/mtl-c/6381007056.jpg', 'https://oz.ru/s3/mtl-k/6381007064.jpg', 'https://oz.ru/s3/mtl-j/6381007063.jpg', 'https://oz.ru/s3/mtl-f/6381007059.jpg', 'https://oz.ru/s3/mtl-m/6381007066.jpg', 'https://oz.ru/s3/mtl-g/6381007060.jpg', 'https://oz.ru/s3/mtl-h/6381007061.jpg', 'https://oz.ru/s3/mtl-k/6373840940.jpg', 'https://oz.ru/s3/mtl-f/6275298531.jpg', 'https://oz.ru/s3/mtl-b/6275298527.jpg', 'https://oz.ru/s3/mtl-e/6275298530.jpg']",2019-03-27 17:55:00,True,False,False,False,True,price_sent,approved,on sale,,False,[],2023-08-29 10:44:00,https://www.oz.ru/product/150200071
36,37,article37,150200065,name 37,14700000000000,"['14665300311077', '4665300311070']",86473,83250454,97240,https://oz.ru/s3/mtl-o/6388096728.jpg,"['https://oz.ru/s3/mtl-r/6388096731.jpg', 'https://oz.ru/s3/mtl-t/6388095329.jpg', 'https://oz.ru/s3/mtl-9/6388096749.jpg', 'https://oz.ru/s3/mtl-q/6388096730.jpg', 'https://oz.ru/s3/mtl-n/6388096727.jpg', 'https://oz.ru/s3/mtl-u/6388096734.jpg', 'https://oz.ru/s3/mtl-m/6388096726.jpg', 'https://oz.ru/s3/mtl-s/6388096732.jpg', 'https://oz.ru/s3/mtl-3/6388096743.jpg', 'https://oz.ru/s3/mtl-7/6388096747.jpg', 'https://oz.ru/s3/mtl-5/6388096745.jpg', 'https://oz.ru/s3/mtl-p/6388096729.jpg', 'https://oz.ru/s3/mtl-8/6388096748.jpg', 'https://oz.ru/s3/mtl-k/6373840940.jpg']",2019-03-27 17:55:00,True,False,False,False,False,price_sent,approved,ready to sale,out of stock,False,[],2023-08-29 10:45:00,https://www.oz.ru/product/150200065
37,38,article38,150200062,name 38,4670000000000,"['4665300310998', '4665300314682']",86473,83250454,97240,https://oz.ru/s3/mtl-g/6381007744.jpg,"['https://oz.ru/s3/mtl-h/6381000833.jpg', 'https://oz.ru/s3/mtl-n/6381000803.jpg', 'https://oz.ru/s3/mtl-e/6381000830.jpg', 'https://oz.ru/s3/mtl-f/6381000795.jpg', 'https://oz.ru/s3/mtl-d/6381000793.jpg', 'https://oz.ru/s3/mtl-f/6381007743.jpg', 'https://oz.ru/s3/mtl-b/6381000827.jpg', 'https://oz.ru/s3/mtl-d/6381007741.jpg', 'https://oz.ru/s3/mtl-k/6381000800.jpg', 'https://oz.ru/s3/mtl-k/6373840940.jpg', 'https://oz.ru/s3/mtl-1/6294700789.jpg', 'https://oz.ru/s3/mtl-6/6294700794.jpg', 'https://oz.ru/s3/mtl-4/6294700792.jpg']",2019-03-27 17:55:00,True,False,False,False,True,price_sent,approved,on sale,,False,[],2023-08-29 10:44:00,https://www.oz.ru/product/150200062
38,39,article39,150200061,name 39,4670000000000,"['4665300311001', '4665300314699']",86473,83250454,97240,https://oz.ru/s3/mtl-e/6380995250.jpg,"['https://oz.ru/s3/mtl-b/6380995247.jpg', 'https://oz.ru/s3/mtl-8/6380995244.jpg', 'https://oz.ru/s3/mtl-g/6380995252.jpg', 'https://oz.ru/s3/mtl-6/6380995242.jpg', 'https://oz.ru/s3/mtl-9/6380995245.jpg', 'https://oz.ru/s3/mtl-a/6380995246.jpg', 'https://oz.ru/s3/mtl-d/6380995249.jpg', 'https://oz.ru/s3/mtl-7/6380995243.jpg', 'https://oz.ru/s3/mtl-c/6380995248.jpg', 'https://oz.ru/s3/mtl-k/6373840940.jpg', 'https://oz.ru/s3/mtl-v/6288203071.jpg', 'https://oz.ru/s3/mtl-s/6288203068.jpg', 'https://oz.ru/s3/mtl-x/6288203073.jpg']",2019-03-27 17:55:00,True,False,True,False,True,price_sent,,on sale,,False,[],2023-08-28 18:05:00,https://www.oz.ru/product/150200061
39,40,article40,150200073,name 40,4670000000000,"['4665300311032', '4665300314644']",86473,83250454,97240,https://oz.ru/s3/mtl-i/6381009690.jpg,"['https://oz.ru/s3/mtl-d/6381009685.jpg', 'https://oz.ru/s3/mtl-g/6381009688.jpg', 'https://oz.ru/s3/mtl-h/6381009689.jpg', 'https://oz.ru/s3/mtl-c/6381009684.jpg', 'https://oz.ru/s3/mtl-l/6381009693.jpg', 'https://oz.ru/s3/mtl-k/6381009692.jpg', 'https://oz.ru/s3/mtl-m/6381009694.jpg', 'https://oz.ru/s3/mtl-j/6381009691.jpg', 'https://oz.ru/s3/mtl-e/6381009686.jpg', 'https://oz.ru/s3/mtl-f/6381009687.jpg', 'https://oz.ru/s3/mtl-k/6373840940.jpg', 'https://oz.ru/s3/mtl-g/6273751828.jpg', 'https://oz.ru/s3/mtl-e/6273751826.jpg', 'https://oz.ru/s3/mtl-h/6273751829.jpg']",2019-03-27 17:55:00,True,False,True,False,True,price_sent,approved,on sale,,False,[],2023-08-29 10:44:00,https://www.oz.ru/product/150200073
40,41,article41,150200125,name 41,4670000000000,['4665300311919'],10102,83250454,970860463,https://oz.ru/s3/mtl-1/6376868737.jpg,"['https://oz.ru/s3/mtl-3/6376868739.jpg', 'https://oz.ru/s3/mtl-j/6424947151.jpg', 'https://oz.ru/s3/mtl-8/6376868744.jpg', 'https://oz.ru/s3/mtl-2/6376868738.jpg', 'https://oz.ru/s3/mtl-0/6376868736.jpg', 'https://oz.ru/s3/mtl-6/6376907406.jpg', 'https://oz.ru/s3/mtl-6/6376868742.jpg', 'https://oz.ru/s3/mtl-1/6380203849.jpg', 'https://oz.ru/s3/mtl-9/6376868745.jpg', 'https://oz.ru/s3/mtl-w/6288319424.jpg', 'https://oz.ru/s3/mtl-2/6288319430.jpg', 'https://oz.ru/s3/mtl-3/6288319431.jpg', 'https://oz.ru/s3/mtl-4/6288319432.jpg', 'https://oz.ru/s3/mtl-a/6288319438.jpg']",2019-03-27 17:55:00,True,False,False,False,True,price_sent,,on sale,,False,[],2023-08-29 16:17:00,https://www.oz.ru/product/150200125
41,42,article42,150200067,name 42,14700000000000,"['14665300311091', '4665300311094']",86473,83250454,97240,https://oz.ru/s3/mtl-h/6388099745.jpg,"['https://oz.ru/s3/mtl-w/6388099688.jpg', 'https://oz.ru/s3/mtl-9/6388099737.jpg', 'https://oz.ru/s3/mtl-u/6388099686.jpg', 'https://oz.ru/s3/mtl-v/6388099687.jpg', 'https://oz.ru/s3/mtl-u/6388099722.jpg', 'https://oz.ru/s3/mtl-d/6388099741.jpg', 'https://oz.ru/s3/mtl-i/6388099746.jpg', 'https://oz.ru/s3/mtl-e/6388099706.jpg', 'https://oz.ru/s3/mtl-7/6388096747.jpg', 'https://oz.ru/s3/mtl-k/6388099748.jpg', 'https://oz.ru/s3/mtl-1/6388099693.jpg', 'https://oz.ru/s3/mtl-g/6388099744.jpg', 'https://oz.ru/s3/mtl-k/6373840940.jpg']",2019-03-27 17:55:00,True,False,False,False,True,price_sent,approved,on sale,,False,[],2023-08-29 10:45:00,https://www.oz.ru/product/150200067
