id;article;sku;name;barcode;barcodes;category_id;description_category_id;type_id;primary_image;images;created_at;visible;is_kgt;has_discounted_item;has_price;has_stock;state;moderate_status;state_name;state_description;is_failed_validate;errors;state_updated_at;link;
237;70025;1377648491;name 237;4673745000022;['4673745000022'];2733279;17028759;95885;https://.oz.com/mtl-u/68;['https://.oz.com/mlt-4/6885335236.jpg', 'https://.oz.com/mlt-g/6885334960.jpg', 'https://.oz.com/mlt-0/6885335016.jpg', 'https://.oz.com/mlt-u/6885335010.jpg', 'https://.oz.com/mlt-w/6885335552.jpg', 'https://.oz.com/mlt-m/6885335182.jpg', 'https://.oz.com/mlt-n/6885334859.jpg', 'https://.oz.com/mlt-t/6885334973.jpg', 'https://.oz.com/mlt-5/6885334841.jpg', 'https://.oz.com/mlt-l/6885334857.jpg', 'https://.oz.com/mlt-c/6885334812.jpg', 'https://.oz.com/mlt-u/6885335046.jpg'];2024-01-09T08:21:28.369362Z;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;»—“»Õ¿;price_sent;approved;saling;;ÀŒ∆‹;[];2024-01-09T08:22:45.173911Z;https://www.ozon.ru/product/13776;
238;17040;1377648072;name 238;4665300319908;['4665300319908'];2733279;17028759;95885;https://.oz.com/mtl-i/68;['https://.oz.com/mlt-3/6885335559.jpg', 'https://.oz.com/mlt-d/6885334957.jpg', 'https://.oz.com/mlt-t/6885334937.jpg', 'https://.oz.com/mlt-m/6885335182.jpg', 'https://.oz.com/mlt-n/6885334859.jpg', 'https://.oz.com/mlt-l/6885334965.jpg', 'https://.oz.com/mlt-5/6885334841.jpg', 'https://.oz.com/mlt-9/6885335313.jpg', 'https://.oz.com/mlt-l/6885334857.jpg', 'https://.oz.com/mlt-c/6885334812.jpg', 'https://.oz.com/mlt-u/6885335046.jpg'];2024-01-09T08:21:28.619525Z;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;price_sent;approved;ready to sale;out of stock;ÀŒ∆‹;[];2024-01-09T08:22:38.941026Z;https://www.ozon.ru/product/13776;
239;17047;1377648177;name 239;4665300319977;['4665300319977'];2733279;17028759;95885;https://.oz.com/mtl-s/68;['https://.oz.com/mlt-w/6897934076.jpg', 'https://.oz.com/mlt-3/6897934119.jpg', 'https://.oz.com/mlt-n/6885334859.jpg', 'https://.oz.com/mlt-q/6885334970.jpg', 'https://.oz.com/mlt-w/6897934112.jpg', 'https://.oz.com/mlt-e/6897934094.jpg', 'https://.oz.com/mlt-f/6897934059.jpg', 'https://.oz.com/mlt-l/6885334857.jpg', 'https://.oz.com/mlt-u/6885335046.jpg', 'https://.oz.com/mlt-c/6885334812.jpg'];2024-01-09T08:21:29.462463Z;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;»—“»Õ¿;price_sent;approved;saling;;ÀŒ∆‹;[];2024-01-19T09:30:05.361420Z;https://www.ozon.ru/product/13776;
240;70035;1377648623;name 240;4673745000121;['4673745000121'];2733279;17028759;95885;https://.oz.com/mtl-j/68;['https://.oz.com/mlt-w/6887670836.jpg', 'https://.oz.com/mlt-4/6887671168.jpg', 'https://.oz.com/mlt-n/6885334859.jpg', 'https://.oz.com/mlt-s/6887671552.jpg', 'https://.oz.com/mlt-g/6887671252.jpg', 'https://.oz.com/mlt-q/6885334970.jpg', 'https://.oz.com/mlt-e/6887671286.jpg', 'https://.oz.com/mlt-k/6885335432.jpg', 'https://.oz.com/mlt-l/6885334857.jpg', 'https://.oz.com/mlt-c/6885334812.jpg', 'https://.oz.com/mlt-u/6885335046.jpg'];2024-01-09T08:21:29.492545Z;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;»—“»Õ¿;price_sent;approved;saling;;ÀŒ∆‹;[];2024-01-11T06:20:04.778397Z;https://www.ozon.ru/product/13776;
241;39008;1379296596;name 241;4673745000350;['4673745000350'];2733279;17028759;95894;https://.oz.com/mtl-m/68;['https://.oz.com/mlt-n/6893767931.jpg', 'https://.oz.com/mlt-0/6893767836.jpg', 'https://.oz.com/mlt-w/6893767868.jpg', 'https://.oz.com/mlt-o/6893767932.jpg', 'https://.oz.com/mlt-x/6893767869.jpg', 'https://.oz.com/mlt-k/6893767892.jpg', 'https://.oz.com/mlt-p/6893767933.jpg', 'https://.oz.com/mlt-i/6893767890.jpg', 'https://.oz.com/mlt-7/6893767879.jpg', 'https://.oz.com/mlt-u/6893767902.jpg'];2024-01-10T08:10:11.618221Z;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;»—“»Õ¿;price_sent;approved;saling;;ÀŒ∆‹;[];2024-02-04T07:28:11.026764Z;https://www.ozon.ru/product/13792;
242;40002;1418926760;name 242;4673745000381;['4673745000381'];2733279;17028759;95885;https://.oz.com/mtl-1-2/;['https://.oz.com/mlt-1-g/6921197296.jpg', 'https://.oz.com/mlt-1-0/6921197280.jpg', 'https://.oz.com/mlt-1-o/6921197304.jpg', 'https://.oz.com/mlt-1-1/6921197281.jpg', 'https://.oz.com/mlt-1-3/6921197283.jpg', 'https://.oz.com/mlt-1-4/6921197284.jpg', 'https://.oz.com/mlt-1-n/6921197303.jpg', 'https://.oz.com/mlt-f/6804928923.jpg', 'https://.oz.com/mlt-g/6804929284.jpg', 'https://.oz.com/mlt-6/6804929094.jpg'];2024-02-09T06:54:44.755785Z;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;price_sent;approved;ready to sale;out of stock;ÀŒ∆‹;[];2024-02-12T13:10:38.208219Z;https://www.ozon.ru/product/14189;
243;40001;1418926816;name 243;4673745000374;['4673745000374'];2733279;17028759;95885;https://.oz.com/mtl-1-9/;['https://.oz.com/mlt-1-f/6921196107.jpg', 'https://.oz.com/mlt-1-b/6921196067.jpg', 'https://.oz.com/mlt-l/6808901061.jpg', 'https://.oz.com/mlt-1-4/6921196132.jpg', 'https://.oz.com/mlt-1-3/6921195987.jpg', 'https://.oz.com/mlt-1-8/6921196136.jpg', 'https://.oz.com/mlt-1-x/6921196089.jpg', 'https://.oz.com/mlt-f/6804928923.jpg', 'https://.oz.com/mlt-g/6804929284.jpg', 'https://.oz.com/mlt-6/6804929094.jpg'];2024-02-09T06:54:45.798450Z;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;price_sent;approved;ready to sale;out of stock;ÀŒ∆‹;[];2024-02-12T13:36:46.876756Z;https://www.ozon.ru/product/14189;
244;40003;1418926828;name 244;4673745000398;['4673745000398'];2733279;17028759;95885;https://.oz.com/mtl-1-a/;['https://.oz.com/mlt-1-f/6921196107.jpg', 'https://.oz.com/mlt-1-9/6921222597.jpg', 'https://.oz.com/mlt-l/6808901061.jpg', 'https://.oz.com/mlt-1-3/6921195987.jpg', 'https://.oz.com/mlt-1-2/6921222590.jpg', 'https://.oz.com/mlt-1-x/6921196089.jpg', 'https://.oz.com/mlt-1-7/6921222595.jpg', 'https://.oz.com/mlt-f/6804928923.jpg', 'https://.oz.com/mlt-g/6804929284.jpg', 'https://.oz.com/mlt-6/6804929094.jpg'];2024-02-09T06:54:46.504389Z;»—“»Õ¿;ÀŒ∆‹;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;price_sent;approved;ready to sale;out of stock;ÀŒ∆‹;[];2024-02-12T13:35:48.380793Z;https://www.ozon.ru/product/14189;
245;90955;1418938417;name 245;4673745001241;['4673745001241'];1010232;83250454;970860463;https://.oz.com/mtl-1-i/;[];2024-02-09T07:13:18.047471Z;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;price_sent;approved;ready to sale;out of stock;ÀŒ∆‹;[];2024-02-09T10:27:18.272254Z;https://www.ozon.ru/product/14189;
246;39007;1418970498;name 246;4673745000343;['4673745000343'];2733279;17028759;95894;https://.oz.com/mtl-1-j/;[];2024-02-09T08:06:48.926232Z;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;price_sent;approved;ready to sale;out of stock;ÀŒ∆‹;[];2024-02-09T08:07:38.139312Z;https://www.ozon.ru/product/14189;
